company,org,model_id,downloads,likes,pipeline_tag,library_name,created_at,tags
"Alphabet Inc.  (GOOG, GOOGL)  (CIK 0001652044)",google,google/mt5-large,233175,108,,transformers,2022-03-02T23:29:05.000Z,transformers; pytorch; tf; jax; mt5; text2text-generation; multilingual; af; am; ar; az; be; bg; bn; ca; ceb; co; cs; cy; da; de; el; en; eo; es; et; eu; fa; fi; fil; fr; fy; ga; gd; gl; gu; ha; haw; hi; hmn; ht; hu; hy; ig; is; it; iw; ja; jv; ka; kk; km; kn; ko; ku; ky; la; lb; lo; lt; lv; mg; mi; mk; ml; mn; mr; ms; mt; my; ne; nl; no; ny; pa; pl; ps; pt; ro; ru; sd; si; sk; sl; sm; sn; so; sq; sr; st; su; sv; sw; ta; te; tg; th; tr; uk; und; ur; uz; vi; xh; yi; yo; zh; zu; dataset:mc4; arxiv:2010.11934; license:apache-2.0; endpoints_compatible; region:us; deploy:azure
"Alphabet Inc.  (GOOG, GOOGL)  (CIK 0001652044)",google,google/mt5-xl,39185,27,,transformers,2022-03-02T23:29:05.000Z,transformers; pytorch; tf; jax; mt5; text2text-generation; multilingual; af; am; ar; az; be; bg; bn; ca; ceb; co; cs; cy; da; de; el; en; eo; es; et; eu; fa; fi; fil; fr; fy; ga; gd; gl; gu; ha; haw; hi; hmn; ht; hu; hy; ig; is; it; iw; ja; jv; ka; kk; km; kn; ko; ku; ky; la; lb; lo; lt; lv; mg; mi; mk; ml; mn; mr; ms; mt; my; ne; nl; no; ny; pa; pl; ps; pt; ro; ru; sd; si; sk; sl; sm; sn; so; sq; sr; st; su; sv; sw; ta; te; tg; th; tr; uk; und; ur; uz; vi; xh; yi; yo; zh; zu; dataset:mc4; arxiv:2010.11934; license:apache-2.0; endpoints_compatible; region:us; deploy:azure
"Alphabet Inc.  (GOOG, GOOGL)  (CIK 0001652044)",google,google/mt5-xxl,511,72,,transformers,2022-03-02T23:29:05.000Z,transformers; pytorch; tf; mt5; text2text-generation; multilingual; af; am; ar; az; be; bg; bn; ca; ceb; co; cs; cy; da; de; el; en; eo; es; et; eu; fa; fi; fil; fr; fy; ga; gd; gl; gu; ha; haw; hi; hmn; ht; hu; hy; ig; is; it; iw; ja; jv; ka; kk; km; kn; ko; ku; ky; la; lb; lo; lt; lv; mg; mi; mk; ml; mn; mr; ms; mt; my; ne; nl; no; ny; pa; pl; ps; pt; ro; ru; sd; si; sk; sl; sm; sn; so; sq; sr; st; su; sv; sw; ta; te; tg; th; tr; uk; und; ur; uz; vi; xh; yi; yo; zh; zu; dataset:mc4; arxiv:2010.11934; license:apache-2.0; endpoints_compatible; region:us
"Alphabet Inc.  (GOOG, GOOGL)  (CIK 0001652044)",google,google/multiberts-seed_0-step_0k,163,0,,transformers,2022-03-02T23:29:05.000Z,transformers; pytorch; tf; bert; pretraining; multiberts; multiberts-seed_0; multiberts-seed_0-step_0k; en; arxiv:2106.16163; arxiv:1908.08962; license:apache-2.0; endpoints_compatible; region:us
"Alphabet Inc.  (GOOG, GOOGL)  (CIK 0001652044)",google,google/multiberts-seed_0-step_1000k,315,0,,transformers,2022-03-02T23:29:05.000Z,transformers; pytorch; tf; bert; pretraining; multiberts; multiberts-seed_0; multiberts-seed_0-step_1000k; en; arxiv:2106.16163; arxiv:1908.08962; license:apache-2.0; endpoints_compatible; region:us
"Alphabet Inc.  (GOOG, GOOGL)  (CIK 0001652044)",google,google/multiberts-seed_0-step_100k,276,0,,transformers,2022-03-02T23:29:05.000Z,transformers; pytorch; tf; bert; pretraining; multiberts; multiberts-seed_0; multiberts-seed_0-step_100k; en; arxiv:2106.16163; arxiv:1908.08962; license:apache-2.0; endpoints_compatible; region:us
"Alphabet Inc.  (GOOG, GOOGL)  (CIK 0001652044)",google,google/multiberts-seed_0-step_1100k,99,0,,transformers,2022-03-02T23:29:05.000Z,transformers; pytorch; tf; bert; pretraining; multiberts; multiberts-seed_0; multiberts-seed_0-step_1100k; en; arxiv:2106.16163; arxiv:1908.08962; license:apache-2.0; endpoints_compatible; region:us
"Alphabet Inc.  (GOOG, GOOGL)  (CIK 0001652044)",google,google/multiberts-seed_0-step_1200k,104,0,,transformers,2022-03-02T23:29:05.000Z,transformers; pytorch; tf; bert; pretraining; multiberts; multiberts-seed_0; multiberts-seed_0-step_1200k; en; arxiv:2106.16163; arxiv:1908.08962; license:apache-2.0; endpoints_compatible; region:us
"Alphabet Inc.  (GOOG, GOOGL)  (CIK 0001652044)",google,google/multiberts-seed_0-step_120k,96,0,,transformers,2022-03-02T23:29:05.000Z,transformers; pytorch; tf; bert; pretraining; multiberts; multiberts-seed_0; multiberts-seed_0-step_120k; en; arxiv:2106.16163; arxiv:1908.08962; license:apache-2.0; endpoints_compatible; region:us
"Alphabet Inc.  (GOOG, GOOGL)  (CIK 0001652044)",google,google/multiberts-seed_0-step_1300k,91,0,,transformers,2022-03-02T23:29:05.000Z,transformers; pytorch; tf; bert; pretraining; multiberts; multiberts-seed_0; multiberts-seed_0-step_1300k; en; arxiv:2106.16163; arxiv:1908.08962; license:apache-2.0; endpoints_compatible; region:us
